Название;Адрес;Сайт;Номера телефонов;Время работы;Описание;Ближайшее метро;Рейтинг
Daily diet;Россия, Санкт-Петербург, Малый проспект Васильевского острова, 44;https://www.ddfood.ru/;+7 (911) 034-13-37 ,;ежедневно, 11:00–22:00;Малый просп. Васильевского острова, 44, Санкт-Петербург, Россия;метро Василеостровская;4,4
Эко-магазин;Россия, Санкт-Петербург, улица Жуковского, 49;Нет;Нет информации;Нет информации;ул. Жуковского, 49, Санкт-Петербург, Россия;метро Площадь Восстания;4,1
